MB226,760276886505213952,21.28,7.85,17.88,0
MB226,760539173120012288,20.38,7.84,14.85,0
MB226,760553618311352320,18.28,6.69,11.73,0
MB226,760318766651629568,14.2,2.75,8.56,0
MB226,760595464861331457,13.35,5.9,13.53,0
MB226,760531774346756096,13.04,5.9,12.51,0
MB226,760578482128752640,12.71,6.36,12.9,0
MB226,760266061006663680,12.68,5.89,11.13,0
MB226,760597843056922624,12.68,5.89,11.13,0
MB226,760501776713814016,12.66,6.57,11.92,0
MB226,760431484360593409,12.46,5.68,10.92,0
MB226,760594399520624641,12.23,5.89,9.24,0
MB226,760565983115259905,12.23,5.89,9.24,0
MB226,760440372090855425,12.23,5.89,9.24,0
MB226,760570215167987713,12.13,6.35,10.23,0
MB226,760333144700575744,12.02,5.67,9.07,0
MB226,760469589608194048,12.02,5.67,9.07,0
MB226,760477055490359298,12.02,5.67,9.07,0
MB226,760491722946273280,12.02,5.67,9.07,0
MB226,760433745107169280,12.02,5.67,9.07,0
MB226,760436895004303360,12.02,5.67,9.07,0
MB226,760462610282246144,12.02,5.67,9.07,0
MB226,760601211053629441,11.96,5.88,8.08,0
MB226,760326182155919360,11.75,5.67,7.93,0
MB226,760331806705082368,11.75,5.67,7.93,0
MB226,760332733646249985,11.75,5.67,7.93,0
MB226,760373334534041604,11.75,5.67,7.93,0
MB226,760483648927830016,11.75,5.67,7.93,0
MB226,760452153878118400,11.75,5.67,7.93,0
MB226,760457698756276224,11.75,5.67,7.93,0
MB226,760464019572555776,11.75,5.67,7.93,0
MB226,760442179831627776,8.96,1.96,7.6,0
MB226,760431484356341760,8.6,1.96,6.76,0
MB226,760465680512782340,8.6,1.96,6.76,0
MB226,760278241286303745,8.15,1.95,5.61,0
MB226,760322726074552320,8.15,1.95,5.61,0
MB226,760468767512014848,8.15,1.95,5.61,0
MB226,760461935003348993,8.15,1.95,5.61,0
MB226,760310185080475648,8.15,1.95,5.61,0
MB226,760567224616808448,8.13,1.57,7.62,0
MB226,760597088073682944,7.89,1.95,4.9,0
MB226,760510358234681351,7.89,1.95,4.9,0
MB226,760490305258819584,7.89,1.95,4.9,0
